"Movie_ID","Year","Name"
48,2001,"Justice League"
56,2004,"Carandiru"
58,1996,"Dragonheart"
64,2001,"Outside the Law"
77,1995,"Congo"
104,1965,"The Great Race"
105,2002,"Obsessed"
110,1989,"Scandal"
125,1981,"Nighthawks"
143,1997,"The Game"
148,2001,"Sweet November"
152,1995,"A Little Princess"
166,1980,"Fame"
175,1992,"Reservoir Dogs"
181,2004,"The Last Shot"
197,2004,"Taking Lives"
252,2002,"Stuart Little 2"
275,2002,"Evelyn"
289,1998,"The Avengers"
295,1995,"Ace Ventura: When Nature Calls"
313,2000,"Pay It Forward"
330,1998,"Wild Things"
346,2005,"Up and Down"
361,2004,"The Phantom of the Opera: Special Edition"
384,1986,"Crossroads"
393,1998,"The Replacement Killers"
398,1976,"In the Realm of the Senses"
402,1999,"Pan Tadeusz"
414,1999,"Girl"
438,1997,"Bean: The Movie"
471,1931,"City Lights"
473,1997,"Princess Mononoke"
483,2001,"Rush Hour 2"
486,1959,"Journey to the Center of the Earth"
499,2000,"Under Suspicion"
548,1991,"Hudson Hawk"
550,1995,"First Knight"
558,1994,"Fantastic Four"
563,2001,"Jimmy Neutron: Boy Genius"
564,1990,"Predator 2"
569,1979,"The In-Laws"
570,2000,"The Visit"
571,1999,"American Beauty"
599,1989,"Sea of Love"
602,2000,"Tokyo Raiders"
636,1980,"Stir Crazy"
659,1972,"The Last House on the Left"
681,1986,"Police Academy 3: Back in Training"
701,2002,"Nine Lives"
707,2003,"The Return"
708,2000,"The Perfect Storm"
758,2004,"Mean Girls"
780,2003,"Churchill"
798,1975,"Jaws"
851,1990,"Back to the Future Part III"
886,2004,"Ray"
907,1930,"Animal Crackers"
908,1981,"Sense and Sensibility"
937,1998,"Fallen"
938,2002,"Scarecrow"
940,1997,"Hercules"
942,1994,"The Pagemaster"
953,1966,"Fahrenheit 451"
954,2003,"I Capture the Castle"
960,1960,"The Unforgiven"
962,2002,"I Spy"
967,2004,"Main Hoon Na"
979,1990,"A Moment of Romance"
980,1994,"The Swan Princess"
982,2001,"Dil Chahta Hai"
985,1999,"The Mummy"
993,1994,"The Shadow"
1035,1994,"Disclosure"
1066,1978,"Superman: The Movie"
1068,1998,"Ringu"
1070,2000,"Bangkok Dangerous"
1073,2005,"Coach Carter"
1078,2000,"After the Storm"
1091,1980,"Dostana"
1099,1983,"Confidentially Yours"
1102,2001,"Training Day"
1103,1997,"Jane Eyre"
1123,1993,"Dragon: The Bruce Lee Story"
1136,1993,"Naked"
1138,2003,"Freddy vs. Jason"
1145,2001,"The Wedding Planner"
1173,1999,"Walking with Dinosaurs"
1175,1984,"Repo Man"
1180,2001,"A Beautiful Mind"
1184,2004,"The Wizard of Oz"
1232,1927,"It"
1245,1994,"Threesome"
1260,1999,"Journey to the Center of the Earth"
1264,2000,"The Closet"
1270,2000,"The Great Gatsby"
1294,2004,"The Gunman"
1305,2003,"Thirteen"
1307,2003,"S.W.A.T."
1324,1994,"The Professional"
1331,1993,"Happily Ever After"
1332,1954,"Sherlock Holmes"
1336,1994,"Wolf"
1363,1993,"Leprechaun"
1370,1976,"Marathon Man"
1384,1973,"Walking Tall"
1406,1991,"Hook"
1419,1975,"Madame Bovary"
1426,1994,"Go Fish"
1430,2001,"The House Next Door"
1452,2001,"Perfume"
1506,2004,"Paranoia Agent"
1518,1995,"Casper"
1542,1993,"Sleepless in Seattle"
1547,1939,"The Women"
1558,1990,"Rocky V"
1561,2003,"American Wedding"
1566,1996,"Once a Thief"
1580,1987,"City on Fire"
1637,2002,"Trapped"
1641,2002,"Revenge"
1645,2003,"The In-Laws"
1666,1995,"The Brady Bunch Movie"
1674,2003,"Kiss Me"
1693,1998,"Sphere"
1704,2004,"The Three Musketeers"
1708,1936,"Modern Times"
1709,1981,"Clash of the Titans"
1742,2003,"High Life"
1743,1979,"The Warriors"
1744,1984,"Beverly Hills Cop"
1756,1974,"Murder on the Orient Express"
1770,1995,"Trainspotting"
1792,1998,"Psycho"
1798,1987,"Lethal Weapon"
1804,2002,"The Twilight Samurai"
1810,1998,"U.S. Marshals"
1814,1998,"Dance with Me"
1819,1998,"Species II"
1822,1996,"Good Luck"
1826,1996,"Terminal"
1843,1994,"Beverly Hills Cop III"
1853,1974,"Death Wish"
1860,1995,"Shall We Dance?"
1865,2004,"Eternal Sunshine of the Spotless Mind"
1867,1999,"Annie"
1893,1977,"Fun with Dick and Jane"
1934,2002,"Widows"
1943,2004,"Premonition"
1946,2004,"Spartacus"
1962,2004,"50 First Dates"
1963,2000,"Beautiful Creatures"
1965,1998,"Slam"
1967,1964,"Diary of a Chambermaid"
2008,2005,"Hercules"
2013,2002,"Borderline"
2015,2002,"Talk to Her"
2019,2004,"Samurai Champloo"
2021,1922,"Robin Hood"
2024,1983,"Jane Eyre"
2037,1985,"Fright Night"
2055,1994,"Andaz Apna Apna"
2072,1989,"K-9"
2078,2002,"Half Past Dead"
2103,1999,"Sunshine"
2104,1989,"Kickboxer"
2109,1982,"Grease 2"
2112,2003,"Identity"
2122,1999,"Being John Malkovich"
2128,1993,"Rudy"
2133,1997,"Rebecca"
2135,1997,"Nothing to Lose"
2136,2001,"Not Another Teen Movie"
2152,2000,"What Women Want"
2153,1993,"Free Willy"
2181,1988,"A Better Tomorrow II"
2186,1995,"Bad Boys"
2212,1993,"The Secret Garden"
2243,1996,"Alaska"
2285,1996,"Unforgettable"
2316,1983,"Breathless"
2325,1943,"Lassie Come Home"
2337,1997,"Double Team"
2342,2004,"Super Size Me"
2372,2004,"The Bourne Supremacy"
2385,1999,"Center Stage"
2391,2004,"Along Came Polly"
2395,1996,"Scream"
2442,1972,"Godzilla vs. Gigan"
2453,2001,"Happy End"
2456,1964,"A Fistful of Dollars"
2457,2004,"A Cinderella Story"
2459,1967,"Son of Godzilla"
2482,1994,"My Girl 2"
2515,1994,"Hum Aapke Hain Koun"
2526,1998,"Kuch Kuch Hota Hai"
2527,2001,"Quicksand"
2531,2001,"Jericho"
2537,2005,"Paheli"
2551,1999,"Trigun"
2558,2002,"Irreversible"
2579,1969,"The Young Girls of Rochefort"
2606,1965,"The Collector"
2617,2002,"Ghost Ship"
2627,2000,"Ringu 0"
2628,1999,"Now and Then"
2647,1973,"Sisters"
2680,2002,"Spy Kids 2: The Island of Lost Dreams"
2685,1986,"Power"
2699,2003,"The Missing"
2705,2001,"How High"
2734,2001,"From Hell"
2743,2002,"The Pianist"
2755,1974,"The Longest Yard"
2775,2002,"Friday After Next"
2780,1998,"Dark City"
2782,1995,"Braveheart"
2791,1999,"The Adventures of Elmo in Grouchland"
2800,2001,"Serendipity"
2803,1995,"Pride and Prejudice"
2813,2004,"Bad Education"
2837,1989,"Story of Women"
2851,1993,"Falling Down"
2854,1989,"I"
2866,1999,"Message in a Bottle"
2874,2003,"Elf"
2878,2002,"Now and Then"
2896,1980,"The Last Metro"
2897,1990,"Gremlins 2: The New Batch"
2908,1994,"Richie Rich"
2918,2003,"Momentum"
2961,1999,"Inferno"
2966,2002,"Awara Paagal Deewana"
2969,1998,"The Suspect"
3038,1992,"Royal Tramp"
3044,2003,"The Inheritance"
3077,1997,"Turbulence"
3092,2004,"The Hollow"
3106,1990,"Ghost"
3115,2001,"Kabhi Khushi Kabhie Gham"
3124,1953,"Titanic"
3138,2004,"Blade: Trinity"
3153,1965,"Doctor Zhivago"
3161,2001,"Scary Movie 2"
3162,2004,"Hardcore"
3170,2002,"Together"
3197,2004,"Around the World in 80 Days"
3198,1991,"The Addams Family"
3205,1990,"Mirror Mirror"
3210,1998,"Jack Frost"
3217,1991,"Robin Hood"
3253,1998,"The Opposite of Sex"
3274,1998,"Half Baked"
3282,2004,"Sideways"
3284,1998,"Last Breath"
3290,1974,"The Godfather"
3296,2004,"Once Upon a Time"
3320,2002,"About a Boy"
3322,1959,"The Mysterians"
3367,2001,"The Last Kiss"
3368,2000,"The Family Man"
3378,1999,"Southpaw"
3385,2002,"28 Days Later"
3427,2002,"Men in Black II"
3434,2002,"The Mothman Prophecies"
3446,2002,"Spirited Away"
3461,2001,"The Iron Ladies"
3466,2001,"Spy Kids"
3495,1993,"Batman: Mask of the Phantasm"
3496,1998,"Vampires"
3500,2000,"Drunken Master"
3519,1997,"Area 51"
3546,1967,"Speed Racer"
3554,1924,"The Last Laugh"
3579,2003,"2 Fast 2 Furious"
3590,1963,"Jason and the Argonauts"
3593,1988,"My Neighbor Totoro"
3615,1946,"Beauty and the Beast"
3624,2003,"The Last Samurai"
3631,1993,"Nemesis"
3638,2003,"Bad Boys II"
3673,1998,"Coming Home"
3675,2002,"The Guys"
3708,1988,"The Beast"
3712,2000,"Il Mare"
3725,1988,"The Seventh Sign"
3740,1931,"Dracula"
3753,2003,"Red Riding Hood"
3766,1988,"18 Again"
3782,1990,"Flatliners"
3824,1998,"Fear and Loathing in Las Vegas"
3825,2002,"The Sum of All Fears"
3837,2001,"Yu-Gi-Oh!"
3862,1987,"Superman IV: The Quest for Peace"
3864,2005,"Batman Begins"
3870,1998,"Affliction"
3875,2004,"The Motorcycle Diaries"
3879,1995,"Ghost in the Shell"
3886,1997,"Live Flesh"
3893,1996,"The People vs. Larry Flynt"
3899,1996,"Comrades: Almost a Love Story"
3905,2001,"The Others"
3907,1998,"Madeline"
3920,1998,"I Still Know What You Did Last Summer"
3923,1997,"Beverly Hills Ninja"
3942,1988,"Crocodile Dundee 2"
3943,1998,"Hitman"
3948,2000,"Safe House"
3966,2004,"Friday Night Lights"
3972,1984,"Police Academy: Special Edition"
3988,1998,"Wrongfully Accused"
4012,1999,"Random Hearts"
4015,2001,"The Road to Love"
4031,1995,"Mortal Kombat: The Movie"
4034,1997,"Lifeline"
4040,1993,"Tales of the City"
4056,2001,"Planet of the Apes"
4064,1998,"The Big Hit"
4109,2000,"American Psycho"
4127,1994,"The Flintstones"
4130,2005,"Happily Ever After"
4136,1993,"Teenage Mutant Ninja Turtles III"
4144,2001,"The Brothers"
4149,2004,"Scooby-Doo 2: Monsters Unleashed"
4171,1996,"Mars Attacks!"
4196,2002,"What to Do in Case of Fire"
4214,1996,"The Mirror Has Two Faces"
4216,2001,"Jurassic Park III"
4225,1999,"Life"
4234,1989,"As Tears Go By"
4247,1998,"Velvet Goldmine"
4248,1981,"Conan the Barbarian"
4262,1999,"Sleepy Hollow"
4283,1979,"The Main Event"
4285,1996,"Flipper"
4288,1989,"The Master"
4289,1985,"Police Academy 2: Their First Assignment"
4302,1982,"An Officer and a Gentleman"
4308,1999,"Beauty and the Beast"
4320,1966,"A Man and a Woman"
4330,1995,"While You Were Sleeping"
4334,1998,"Point Blank"
4338,2003,"Hazaaron Khwaishein Aisi"
4341,2002,"The Scorpion King"
4348,2002,"The Twelve Kingdoms"
4356,2002,"Road to Perdition"
4370,2000,"Miracles"
4379,1999,"Ringu 2"
4384,2004,"Dawn of the Dead"
4387,2005,"Nobody Knows"
4389,2003,"A Man Apart"
4402,1984,"A Nightmare on Elm Street"
4404,1999,"Khoobsurat"
4429,2002,"Undisputed"
4430,1996,"Shanghai Grand"
4432,2003,"The Italian Job"
4441,1996,"The Last Supper"
4443,1989,"City Hunter: .357 Magnum"
4461,2002,"Godzilla Against Mechagodzilla"
4472,2003,"Love Actually"
4479,1980,"Ordinary People"
4493,2003,"Ju-on: The Grudge"
4542,1977,"Anna Karenina"
4546,2004,"Chasing Liberty"
4577,1989,"Steel Magnolias"
4580,1973,"Scarecrow"
4587,1999,"Baby Geniuses"
4627,1932,"Little Women"
4628,1996,"Kolya"
4633,1982,"Gandhi"
4640,1988,"Rain Man"
4641,2002,"Tully"
4656,2000,"Erin Brockovich"
4670,1999,"Wild Wild West"
4683,2000,"Proof of Life"
4686,1990,"Hard to Kill"
4695,2002,"So Close"
4727,1979,"Apocalypse Now Redux"
4733,2003,"Faster"
4739,1988,"Mystic Pizza"
4740,1986,"The Golden Child"
4752,2000,"Dancer in the Dark"
4770,1962,"The Trial"
4778,1994,"Reality Bites"
4781,1986,"Cobra"
4790,2001,"Tortilla Soup"
4791,1940,"Pinocchio"
4805,1993,"True Romance"
4829,2004,"Shaun of the Dead"
4833,2003,"Timeline"
4847,1989,"Glory"
4852,1997,"U Turn"
4862,1992,"Sneakers"
4867,1986,"The Karate Kid Part II"
4883,1992,"The Bodyguard"
4887,1977,"The Hills Have Eyes"
4904,1993,"Manhattan Murder Mystery"
4906,1999,"Stuart Little"
4907,2000,"Grass"
4925,1989,"God of Gamblers"
4931,2004,"Catwoman"
4943,1984,"Against All Odds"
4956,1989,"Back to the Future Part II"
4972,2003,"Paycheck"
4981,1979,"Dracula"
4995,2002,"Crossroads"
4998,1948,"Anna Karenina"
5004,2001,"Nowhere in Africa"
5013,1992,"Under Suspicion"
5018,2001,"Fruits Basket"
5020,2003,"Johnny English"
5039,2003,"Detention"
5050,1953,"Roman Holiday"
5054,1996,"Mission: Impossible"
5063,1997,"Mouse Hunt"
5083,1986,"The Worst Witch"
5087,1999,"Mystery"
5105,1985,"Just One of the Guys"
5112,2000,"What Lies Beneath"
5116,1955,"Queen Bee"
5121,2003,"The Medallion"
5124,1956,"Rodan"
5137,1985,"Out of Africa"
5140,1993,"Fearless"
5154,2005,"Constantine"
5187,1968,"Funny Girl"
5217,1991,"Rhapsody in August"
5223,1999,"Girl"
5227,2001,"Angel Eyes"
5239,2005,"The Longest Yard"
5243,2000,"Romeo Must Die"
5245,2000,"Malena"
5250,1986,"The Money Pit"
5259,2000,"Deep Water"
5272,1953,"Invaders from Mars"
5283,2002,"Hellsing"
5287,1967,"Bonnie and Clyde"
5293,1992,"Patriot Games"
5295,1955,"The Swindle"
5304,1998,"Vanity Fair"
5317,2000,"Miss Congeniality"
5333,2002,"Big Fat Liar"
5338,1986,"A Better Tomorrow"
5339,1982,"Venom"
5345,2004,"Shark Tale"
5350,1985,"Vagabond"
5354,1961,"The Intruder"
5355,1937,"A Star Is Born"
5358,1974,"Land of the Lost"
5361,1988,"Masquerade"
5384,1989,"The Killer"
5390,2004,"Anacondas: The Hunt for the Blood Orchid"
5401,2004,"Dodgeball: A True Underdog Story"
5412,2004,"Possessed"
5434,2000,"Mission to Mars"
5448,2002,"Jackass: The Movie"
5454,2000,"Time and Tide"
5459,2000,"Code Unknown"
5467,2004,"Intimate Strangers"
5496,2004,"I"
5509,1978,"The End"
5513,1990,"Mr. Bean: The Whole Bean"
5561,1967,"Cool Hand Luke"
5571,1976,"Rocky"
5589,2002,"The Time Machine"
5601,1962,"The Manchurian Candidate"
5613,1994,"Loaded"
5621,1994,"Naked Gun 33 1/3: The Final Insult"
5628,1996,"The Nutty Professor"
5640,1990,"Once a Thief"
5651,1992,"Boomerang"
5658,2001,"The Experiment"
5665,1987,"The Secret of My Success"
5667,2005,"Son of the Mask"
5672,1997,"The Borrowers"
5683,1943,"Sahara"
5686,1993,"Nowhere to Run"
5695,2003,"Bad Santa"
5704,1997,"Seven Years in Tibet"
5708,2000,"The Art of War"
5730,2005,"XXX: State of the Union"
5741,1970,"Trash"
5751,2002,"Eight Crazy Nights"
5775,1992,"Scent of a Woman"
5778,1990,"The Godfather"
5793,2003,"Underworld"
5814,2002,"One Hour Photo"
5836,2004,"Win a Date with Tad Hamilton!"
5845,1978,"Midnight Express"
5862,2000,"Memento"
5876,1961,"Two Women"
5881,2001,"Lagaan"
5899,1991,"Rush"
5907,1956,"Godzilla: King of the Monsters"
5912,1990,"I"
5920,1981,"Eyewitness"
5924,2000,"Snatch"
5939,2001,"The Mummy Returns"
5946,1977,"Saturday Night Fever"
5963,1925,"The Gold Rush"
5991,2005,"Sin City"
6005,2001,"Baby Boy"
6014,2005,"House of Wax"
6024,2005,"Brothers"
6029,2001,"Amelie"
6034,2004,"Open Water"
6037,2002,"The Bourne Identity"
6044,1991,"The Pianist"
6068,1993,"Addams Family Values"
6105,2000,"Paranoid"
6133,1984,"Red Dawn"
6134,2004,"Collateral"
6161,2004,"Criminal"
6206,2002,"My Big Fat Greek Wedding"
6221,1997,"Donnie Brasco"
6223,1991,"Point Break"
6235,2002,"A Walk to Remember"
6238,2001,"Lip Service"
6240,1990,"Awakenings"
6243,1994,"It Could Happen to You"
6251,2002,"Cowboy Bebop: The Movie"
6255,2005,"Bewitched"
6266,1996,"Michael"
6268,1998,"Lost in Space"
6274,1990,"The Hunt for Red October"
6275,1937,"Heidi"
6291,1976,"King Kong"
6315,1989,"Friday the 13th: Part 8: Jason Takes Manhattan"
6321,1972,"Emma"
6323,2002,"Yesterday"
6350,1998,"Rush Hour"
6362,2002,"Spirit: Stallion of the Cimarron"
6370,2000,"Joseph: King of Dreams"
6372,1989,"Best of the Best"
6404,1990,"Pet Sematary 2"
6405,2002,"H"
6437,2005,"Boogeyman"
6451,2002,"Killing Me Softly"
6475,2004,"Spanglish"
6482,1984,"Gremlins"
6487,2004,"Spiral"
6507,1997,"The Kid"
6536,1972,"Panda! Go Panda!"
6537,2002,"Lucky"
6545,2004,"Infernal Affairs"
6556,1996,"Romeo + Juliet"
6574,1992,"Single White Female"
6580,1989,"Get Smart"
6584,2003,"Zelary"
6585,1999,"Virus"
6588,2004,"Warriors of Heaven and Earth"
6599,1985,"The Jewel of the Nile"
6615,1994,"Legends of the Fall"
6620,1984,"American Dreamer"
6648,2001,"Ichi the Killer"
6650,1991,"Dragon Ball Z: Lord Slug"
6666,1996,"The Frighteners"
6670,2001,"The Glass House"
6674,2002,"Parental Guidance"
6675,2001,"Advertising Rules!"
6687,1999,"Deep Blue Sea"
6696,1976,"Quincy"
6701,1995,"Haunted"
6702,1987,"Roxanne"
6708,1996,"The Craft"
6718,1997,"Red Corner"
6720,2001,"Black Hawk Down"
6736,2005,"Robots"
6742,1957,"3:10 to Yuma"
6760,2002,"Divine Secrets of the Ya-Ya Sisterhood"
6771,1998,"Urban Legend"
6782,2003,"Easy"
6797,1985,"The Breakfast Club"
6833,1995,"Billy Madison"
6840,2002,"Pinocchio"
6844,2001,"The Fast and the Furious"
6848,2002,"Mr. Bean: The Animated Series"
6861,1936,"Sabotage"
6886,2004,"The Dreamers"
6927,1969,"The Italian Job"
6931,2003,"Terminator 3: Rise of the Machines"
6965,1996,"Robinson Crusoe"
6974,1995,"The Usual Suspects"
6978,1996,"The Cable Guy"
6994,2000,"The Whole Nine Yards"
6996,1991,"Madame Bovary"
7032,2002,"Austin Powers in Goldmember"
7070,1968,"Once Upon a Time in the West"
7085,2002,"Lupin the 3rd: Dragon of Doom"
7100,2005,"Auschwitz: Inside the Nazi State"
7125,1988,"Bloodsport"
7131,1982,"Night Shift"
7138,1985,"The Protector"
7140,2003,"Godzilla: Tokyo S.O.S."
7142,1996,"Barb Wire"
7152,1989,"Breaking In"
7155,1993,"The Pelican Brief"
7165,1998,"Blues Brothers 2000"
7172,1987,"Prince of Darkness"
7184,2005,"Racing Stripes"
7209,1995,"It Takes Two"
7213,1999,"I"
7219,1987,"The Untouchables"
7233,1986,"Stand by Me"
7234,2000,"Men of Honor"
7240,1987,"Beverly Hills Cop II"
7249,2004,"Alfie"
7331,2004,"Secret Window"
7339,2002,"The Code"
7345,1991,"God of Gamblers II"
7347,1991,"My Own Private Idaho"
7351,2002,"Pinocchio"
7354,1996,"Solo"
7356,1998,"Deep Impact"
7364,1989,"Driving Miss Daisy"
7401,1997,"Picture Perfect"
7434,1993,"Swing Kids"
7441,2003,"Perfect Strangers"
7442,1999,"Beowulf"
7502,2000,"Waiting"
7521,2000,"Scary Movie"
7541,2001,"Kevin James: Sweat the Small Stuff"
7545,1989,"The War of the Roses"
7566,1985,"Friday the 13th: Part 5: A New Beginning"
7590,1987,"Fatal Attraction"
7610,1973,"Benji"
7615,1988,"Killer Klowns from Outer Space"
7617,1987,"Dirty Dancing"
7624,1986,"Top Gun"
7627,2003,"Once Upon a Time in Mexico"
7635,2004,"Anchorman: The Legend of Ron Burgundy"
7642,1940,"Rebecca"
7673,1988,"School Daze"
7706,1985,"Silverado"
7718,1995,"Rumble in the Bronx"
7735,1997,"Rurouni Kenshin"
7745,1995,"Apollo 13"
7757,1999,"Go"
7812,1932,"Freaks"
7826,1990,"Another 48 Hrs."
7844,1996,"Jack Frost"
7854,2001,"Human Nature"
7875,1998,"A Night at the Roxbury"
7885,2002,"Taken"
7952,2000,"Dune"
7987,2003,"Wrong Turn"
8014,2002,"All About the Benjamins"
8016,1999,"Eyes Wide Shut"
8020,1989,"Dead Calm"
8024,2000,"Divided We Fall"
8046,1993,"Menace II Society"
8066,2003,"Amandla! A Revolution in Four Part Harmony"
8118,1997,"Spawn: The Movie"
8153,1999,"The Coroner"
8163,2004,"Two Brothers"
8174,2001,"Bully"
8181,1995,"The Net"
8206,1995,"All Things Fair"
8231,2002,"Hop"
8233,1968,"Destroy All Monsters"
8250,2001,"The Order"
8259,1994,"On Deadly Ground"
8264,1921,"The Three Musketeers"
8290,1995,"Truman"
8294,2003,"Remember Me"
8303,1994,"Pom Poko"
8333,2004,"The Grudge"
8334,1997,"Conspiracy Theory"
8337,1990,"Quigley Down Under"
8357,1995,"The Bridges of Madison County"
8379,2001,"Enemy at the Gates"
8387,2002,"Minority Report"
8413,2003,"Girl with a Pearl Earring"
8437,1998,"Soldier"
8448,2003,"The Incredible Hulk"
8467,1996,"Eraser"
8469,1995,"Living in Oblivion"
8475,2004,"Fida"
8499,2003,"Pride and Prejudice"
8507,1983,"Sudden Impact"
8513,2004,"American Crime"
8518,1997,"Air Bud"
8521,2003,"The Flower of Evil"
8526,1961,"The Guns of Navarone"
8552,1983,"Bad Boys"
8563,1990,"Teenage Mutant Ninja Turtles: The Movie"
8564,2005,"Private Lives"
8565,1991,"Blood Ties"
8585,1979,"Mad Max"
8596,1995,"Seven"
8616,1996,"Passion"
8630,1985,"Death Wish 3"
8634,1964,"The Umbrellas of Cherbourg"
8638,2000,"Jason and the Argonauts"
8644,2002,"Catch Me If You Can"
8655,1998,"Blood"
8656,1993,"Godzilla vs. Mechagodzilla II"
8666,1940,"The Great Dictator"
8669,1996,"Executive Decision"
8694,1981,"Love Story"
8718,1997,"Dead Silence"
8727,1981,"Quartet"
8736,1990,"Tie Me Up! Tie Me Down!"
8743,2002,"Ice Age"
8745,1989,"Around the World in 80 Days"
8764,1996,"Happy Gilmore"
8776,1999,"The Pact"
8781,1998,"Quest for Camelot"
8809,2002,"Star Trek: Nemesis"
8813,1980,"Grown Ups"
8824,2001,"Godzilla"
8837,1997,"Cube"
8846,1999,"Election"
8881,1987,"RoboCop"
8889,1976,"Mother"
8890,1936,"Fury"
8893,1997,"Berserk"
8904,1997,"Good Will Hunting"
8927,2000,"Twelve Nights"
8945,1991,"Once Upon a Time in China"
8951,1959,"Floating Weeds"
8963,2004,"The Last King"
8981,2000,"The Nutty Professor II: The Klumps"
8989,2001,"Save the Last Dance"
9025,1993,"City Hunter"
9030,1987,"The Flaming Brothers"
9036,2003,"Dead End"
9037,1970,"Love Story"
9043,1981,"Arthur"
9049,1997,"Boogie Nights"
9056,1985,"Into the Night"
9075,1969,"Go"
9080,2000,"Autumn in New York"
9087,1992,"Hero"
9124,1996,"Underworld"
9125,2001,"Hearts in Atlantis"
9132,1991,"L.A. Story"
9141,2002,"Full Metal Panic!"
9146,1998,"The Rugrats Movie"
9178,1979,"Hardcore"
9197,2004,"D.E.B.S."
9208,1985,"Pale Rider"
9231,2003,"Love Me If You Dare"
9232,2003,"Boat Trip"
9237,1990,"The Witches"
9242,1999,"All About My Mother"
9243,1991,"Days of Being Wild"
9253,1921,"Destiny"
9254,1985,"The Goonies"
9265,1992,"Batman Returns"
9288,1995,"Sudden Death"
